Ticker,Industry,Market Cap,Price,Change,Volume
ACIW,Technical & System Software,"1,837.89",œ47.04,1.01%,"51,718.00"
ACXM,Information Technology Services,"1,754.84",œ23.95,0.55%,"114,570.00"
ADBE,Application Software,"23,170.76",œ46.61,1.26%,"808,302.00"
ADI,Semiconductor - Integrated Circuits,"13,930.29",œ45.80,1.08%,"339,210.00"
ADP,Business Software & Services,"33,827.62",œ70.28,0.29%,"481,525.00"
ADSK,Technical & System Software,"7,495.06",œ33.53,0.12%,"1,156,350.00"
ADTN,Communication Equipment,"1,557.31",œ24.83,-1.39%,"310,397.00"
ADVS,Application Software,"1,777.29",œ35.08,-0.20%,"40,206.00"
AKAM,Internet Information Providers,"7,569.60",œ42.78,0.54%,"256,017.00"
AMSWA,Application Software,239.30,œ8.80,0.00%,"1,435.00"
ARRS,Communication Equipment,"1,673.13",œ14.47,-0.45%,"420,539.00"
ATNI,Telecom Services - Domestic,782.21,œ49.70,-0.96%,"21,063.00"
AWAY,Internet Information Providers,"2,644.11",œ31.54,0.13%,"193,553.00"
AYI,Diversified Electronics,"3,426.52",œ81.35,-0.05%,"246,730.00"
AZPN,Business Software & Services,"2,745.35",œ29.57,0.96%,"99,726.00"
BIO,Scientific & Technical Instruments,"3,212.41",œ113.35,0.54%,"7,010.00"
BIRT,Application Software,324.73,œ6.79,0.74%,"15,432.00"
BLKB,Business Software & Services,"1,465.86",œ33.18,0.67%,"26,108.00"
BMI,Scientific & Technical Instruments,632.14,œ44.22,-1.05%,"24,404.00"
BR,Information & Delivery Services,"3,263.92",œ27.12,0.71%,"72,660.00"
BRC,Security Software & Services,"1,591.29",œ30.94,-0.03%,"12,875.00"
BRCD,Data Storage Devices,"2,591.92",œ5.77,0.87%,"1,528,631.00"
BRKR,Scientific & Technical Instruments,"2,657.41",œ15.48,-3.07%,"524,986.00"
BSFT,Application Software,800.34,œ28.88,0.94%,"134,468.00"
CCI,Diversified Communication Services,"21,005.92",œ72.40,0.33%,"384,132.00"
CCMP,Semiconductor - Integrated Circuits,779.51,œ34.26,0.97%,"21,814.00"
CCUR,Computer Based Systems,66.36,œ7.60,0.26%,"25,849.00"
